AUTOPLAY_OFF_HOST,"Uruchomisz grę, kiedy wszyscy gracze będą gotowi","You will launch the game,
when all players are ready",,,,
TOOLTIP_REPAIR_TOOL_ALIEN,"Wichajster:
					 Użyj do naprawy swojego UFO",,,,,
TOOLTIP_REPAIR_TOOL_ROBERT,"Wichajster:Wichajster:
					 Użyj do naprawy wraku ufo",,,,,
TOOLTIP_SIGNAL_JAMMER_ALIEN,"Zakłócacz:
					Wyślij swoją pozycję przez
					walkie talkie, tak jak
					sceptyk",,,,,Użyj do naprawy wraku ufo
TOOLTIP_SIGNAL_JAMMER_SKEPTIC,"Zakłócacz:
					Po użyciu na walkie-talkie
					ufo nie zobaczy nadanej
					przez ciebie pozycji",,,,,
TOOLTIP_SANITY_PILLS,"Medi-Sinet: 
					Użyj aby stracić punkt wiary",,,,,
TOOLTIP_STEERING_WHEEL,"Koło sterowe:
					Po użyciu na wraku ufo
					i naprawie ufo za pomocą
					narzędzia naprawczego
					możesz odlecieć i wygrać",,,,,
TOOLTIP_DEFAULT,Nie możesz użyć tego przedmiotu,,,,,
BACKPACK_SKILL_ACTION_REPAIR_TOOL,Napraw,,,,,
BACKPACK_SKILL_ACTION_SANITY_PILLS,Weź tabletkę,,,,,
BACKPACK_SKILL_ACTION_SIGNAL_JAMMER_SKEPTIC,Zaszyfruj sygnał,,,,,
BACKPACK_SKILL_ACTION_SIGNAL_JAMMER_ALIEN,Wyślij swoją pozycję,,,,,
BACKPACK_SKILL_ACTION_STEERING_WHEEL,Umieść koło sterowe we wraku,,,,,
SKILL_FLY_AWAY,Odleć,,,,,
SKILL_LASER_SHOOT,Wystrzel laser,,,,,
SKILL_CAPTURE,Pochwyć,,,,,
SKILL_SEND_POSITION_SKEPTIC,Wyślij swoją pozycję,,,,,
SKILL_CALL_SKEPTIC,Zawołaj,,,,,
CAPTURED_LABEL,Pochwycenie udane!,,,,,
BACKPACK_OVERFLOW_LABEL,Plecak pełny!,,,,,
LOADING,Ładowanie,,,,,
PREFFERED_FACTION,Preferowana frakcja,,,,,
PLAYERS_IN_LOBBY_COUNT,graczy,,,,,
PLAYERS_READY,gotowi gracze: ,,,,,
START_GAME_BUTTON,Rozpocznij grę,,,,,
CREDITS_CODE,Kod gry,,,,,
CREDITS_TESTS,"Testy i wsparcie 
motywacyjne",,,,,
CREDITS_ASSETS,"Wszystkie 
wykorzystane 
grafiki",,,,,
CREDITS_MUSIC,Muzyka,,,,,
CREDITS_LOCALIZATION,"Lokalizacja na
język angielski",,,,,
SETTINGS_MUSIC,Muzyka,,,,,
SETTINGS_SFX,Efekty dźwiękowe,,,,,
SETTINGS_LANGUAGE,Język,,,,,
SETTINGS_LANGUAGE_POLISH,polski,,,,,
SETTINGS_LEAVE,Wyjdź,,,,,
SETTINGS_LANGUAGE_ENGLISH,angielski,,,,,
ROOM_JOIN_TITLE,Kod pokoju,,,,,
ROOM_JOIN_BUTTON,Dołącz,,,,,
ROOM_JOIN_PLACEHOLDER,Wpisz lub wklej kod pokoju,,,,,
ROOM_CODE_COPIED,Kod skopiowany do schowka,,,,,
WELCOME_SCREEN_CREATE,Utwórz nową grę,,,,,
WELCOME_SCREEN_JOIN,Dołącz,,,,,
WELCOME_SCREEN_QUICK_GAME,Losuj grę,,,,,
WELCOME_SCREEN_GAME_VERSION,Wersja gry:,,,,,
WELCOME_SCREEN_SETTINGS,Ustawienia,Settings,,,,
WELCOME_SCREEN_QUIT,Wyjdź,Leave,,,,
SKEPTIC_LISTEN_ROBERTS_TALK,"Robert cię
przekonał",,,,,
SKILL_ROBERT_SPEACH,"Wygłoś
tyradę",,,,,
